index	position	strand	transcript_length	winner	feature	term_start	term_end	mfe	summary	GeneStart	GeneEnd	GeneLength	GeneLengthWithUTR	url_for_image
orphan_0	38782	+	373	RNA	NA	NA	NA	-7.111110000000001	[['motif_4', 23, 1.3400000000000001e-09]]	38782.0	39154.0	373.0	373.0	orphan_0_ss.jpg
orphan_2	41103	+	410	RNA	Intrinsic	41120.0	41140.0	-0.566667	NA	41104.0	41140.0	37.0	38.0	orphan_2_ss.jpg
orphan_4	273206	+	802	RNA	RhoDep	274005.0	274083.0	-20.1667	NA	273791.0	274233.0	443.0	1028.0	orphan_4_ss.jpg
orphan_5	395392	+	373	RNA	NA	NA	NA	-7.111110000000001	[['motif_4', 23, 1.3400000000000001e-09]]	395392.0	395764.0	373.0	373.0	orphan_5_ss.jpg
orphan_7	397711	+	410	RNA	Intrinsic	397728.0	397748.0	-0.566667	NA	397712.0	397748.0	37.0	38.0	orphan_7_ss.jpg
orphan_9	692545	+	368	RNA	NA	NA	NA	-6.944439999999999	[['motif_0', 29, 0.0014]]	692545.0	692912.0	368.0	368.0	orphan_9_ss.jpg
orphan_10	694861	+	410	RNA	Intrinsic	694878.0	694898.0	-0.51	NA	694862.0	694898.0	37.0	38.0	orphan_10_ss.jpg
orphan_12	875231	+	888	RNA	Intrinsic	875582.0	875603.0	-6.35	[['motif_0', 29, 7.070000000000001e-05]]	875231.0	875603.0	373.0	373.0	orphan_12_ss.jpg
orphan_16	1141674	+	888	COD	NA	NA	NA	NA	NA	1141680.0	1142345.0	666.0	672.0	
orphan_19	1531082	+	172	RNA	Intrinsic	1531122.0	1531143.0	-1.0	NA	1531116.0	1531143.0	28.0	62.0	orphan_19_ss.jpg
orphan_3	41335	-	888	RNA	NA	NA	NA	-16.8222	[['motif_0', 29, 0.00195], ['motif_2', 9, 1.3599999999999999e-11]]	40648.0	41335.0	688.0	688.0	orphan_3_ss.jpg
orphan_8	397943	-	888	RNA	NA	NA	NA	-16.8222	[['motif_0', 29, 0.00195], ['motif_2', 9, 1.3599999999999999e-11]]	397256.0	397943.0	688.0	688.0	orphan_8_ss.jpg
orphan_11	695093	-	888	RNA	NA	NA	NA	-15.14	[['motif_0', 29, 0.00195], ['motif_2', 9, 1.3599999999999999e-11]]	694406.0	695093.0	688.0	688.0	orphan_11_ss.jpg
orphan_13	1073590	-	696	RNA	Intrinsic	1073295.0	1073316.0	-4.39	NA	1073295.0	1073581.0	287.0	296.0	orphan_13_ss.jpg
orphan_15	1141664	-	888	RNA	NA	NA	NA	-5.4	[['motif_0', 29, 0.00267]]	1141257.0	1141334.0	78.0	408.0	orphan_15_ss.jpg
orphan_17	1433397	-	888	RNA	RhoDep	1432912.0	1432990.0	-10.975	NA	1432762.0	1433397.0	636.0	636.0	orphan_17_ss.jpg
orphan_18	1436138	-	348	RNA	NA	NA	NA	-5.89	[['motif_0', 29, 0.000242]]	1435791.0	1436138.0	348.0	348.0	orphan_18_ss.jpg
orphan_20	1601440	-	466	RNA	RhoDep	1601068.0	1601146.0	-8.55	NA	1600918.0	1601440.0	523.0	523.0	orphan_20_ss.jpg
antisense_10	15890	+	660	COD	RhoDepWithHP	16255.0	16432.0	NA	[['motif_0', 29, 0.0011099999999999999]]	15933.0	16432.0	500.0	543.0	
antisense_11	16550	+	164	COD	NA	NA	NA	NA	[['motif_0', 9, 0.0008789999999999999]]	16550.0	16624.0	75.0	75.0	
antisense_12	16714	+	398	RNA	NA	NA	NA	-0.792308	NA	16771.0	16806.0	36.0	93.0	antisense_12_ss.jpg
antisense_13	17112	+	434	RNA	NA	NA	NA	-2.30769	[['motif_0', 29, 0.0014]]	17161.0	17328.0	168.0	217.0	antisense_13_ss.jpg
antisense_15	20156	+	674	RNA	RhoDep	20738.0	20816.0	-11.3538	[['motif_0', 29, 0.00267]]	20158.0	20966.0	809.0	811.0	antisense_15_ss.jpg
antisense_16	24677	+	888	RNA	RhoDep	25301.0	25379.0	-11.6308	NA	24677.0	25529.0	853.0	853.0	antisense_16_ss.jpg
antisense_17	26083	+	888	RNA	NA	NA	NA	-15.5308	[['motif_0', 28, 0.000135]]	26083.0	26970.0	888.0	888.0	antisense_17_ss.jpg
antisense_18	27109	+	888	RNA	NA	NA	NA	-13.9308	NA	27109.0	27992.0	884.0	884.0	antisense_18_ss.jpg
antisense_29	62832	+	888	COD	RhoDep	63672.0	63750.0	NA	[['motif_0', 30, 0.0036]]	63017.0	63900.0	884.0	1069.0	
antisense_30	66266	+	888	COD	RhoDep	66879.0	66957.0	NA	[['motif_0', 29, 0.0006889999999999999]]	66375.0	67107.0	733.0	842.0	
antisense_31	67632	+	888	COD	RhoDep	68457.0	68535.0	NA	NA	67653.0	68685.0	1033.0	1054.0	
antisense_35	74603	+	527	RNA	NA	NA	NA	-2.21538	[['motif_0', 29, 0.00011499999999999999]]	74839.0	74853.0	15.0	251.0	antisense_35_ss.jpg
antisense_36	75130	+	116	RNA	NA	NA	NA	0.0	[['motif_0', 31, 4.970000000000001e-05]]	75132.0	75149.0	18.0	20.0	antisense_36_ss.jpg
antisense_37	75246	+	888	RNA	NA	NA	NA	-12.1385	[['motif_0', 29, 9.08e-06]]	75249.0	76133.0	885.0	888.0	antisense_37_ss.jpg
antisense_38	76200	+	500	RNA	NA	NA	NA	-6.49231	NA	76207.0	76679.0	473.0	480.0	antisense_38_ss.jpg
antisense_39	76700	+	401	RNA	NA	NA	NA	-1.5	[['motif_0', 29, 0.0011099999999999999]]	76820.0	76840.0	21.0	141.0	antisense_39_ss.jpg
antisense_43	80234	+	888	RNA	NA	NA	NA	-2.87692	NA	80407.0	80484.0	78.0	251.0	antisense_43_ss.jpg
antisense_44	81682	+	888	RNA	NA	NA	NA	-8.33077	[['motif_0', 14, 0.000991]]	82223.0	82333.0	111.0	652.0	antisense_44_ss.jpg
antisense_45	84627	+	888	COD	RhoDep	85316.0	85394.0	NA	[['motif_0', 32, 7.070000000000001e-05]]	84647.0	85544.0	898.0	918.0	
antisense_46	88905	+	430	RNA	NA	NA	NA	-5.2	[['motif_0', 29, 0.0036]]	89160.0	89198.0	39.0	294.0	antisense_46_ss.jpg
